Rank,Mountain,Height.m,Height.Ft,Prominence.m,Range.1,Range.2,Latitude,Longitude,Parent,First.Ascent,Ascents,Country.With
89,79,Chamlang,7.321,24.019,1.241,Mahalangur,Himalaya,27.775,86.97972,Lhotse,1961,7 (1),Nepal
90,80,Chongtar,7.315,23.999,1.295,Baltoro,Karakoram,35.91528,76.42917,Skil Brum,1994,1 (1),China; [dp 2]
91,81,Baltoro Kangri,7.312,23.99,1.14,Masherbrum,Karakoram,35.63917,76.67333,Chogolisa,1963,1 (0),Pakistan; [dp 1]
92,82,Siguang Ri,7.309,23.98,669,Mahalangur,Himalaya,28.14722,86.685,Cho Oyu,1989,2 (1),China
93,83,The Crown,7.295,23.934,1.919,Yengisogat,Karakoram,36.10667,76.20583,Skil Brum (K2),1993,1 (5),China; [dp 2]
94,84,Gyala Peri,7.294,23.93,2.942,Assam,Himalaya,29.81444,94.96861,Mount Everest,1986,1 (0),China
95,85,Porong Ri,7.292,23.924,512,Langtang,Himalaya,28.38944,85.72,Shishapangma,1982,5 (0),China
96,86,Baintha Brakk; The Ogre,7.285,23.901,1.891,Panmah,Karakoram,35.9475,75.75333,Kanjut Sar,1977,3 (13),Pakistan; [dp 1]
97,87,Yutmaru Sar,7.283,23.894,680,Hispar,Karakoram,36.22639,75.36722,Yukshin Gardan Sar,1980,1 (1),Pakistan; [dp 1]
98,88,K6,7.282,23.891,1.962,Masherbrum,Karakoram,35.41833,76.55167,Chogolisa,1970,1 (3),Pakistan; [dp 1]
99,89,Kangpenqing,7.281,23.888,1.345,Baiku,Himalaya,28.55083,85.54556,Shishapangma,1982,1 (1),China
100,90,Muztagh Tower,7.276,23.871,1.71,Baltoro,Karakoram,35.82778,76.36111,Skil Brum,1956,4 (2),Pakistan; [dp 1]; China; [dp 2]
101,91,Mana Peak,7.272,23.858,732,Garhwal,Himalaya,30.88056,79.61528,Kamet,1937,7 (3),India
102,119,Dhaulagiri VI,7.268,23.845,488,Dhaulagiri,Himalaya,28.70861,83.27417,Dhaulagiri IV,1970,5 (0),Nepal
103,92,Diran,7.266,23.839,1.329,Rakaposhi-Haramosh,Karakoram,36.12028,74.66167,Malubiting,1968,12 (8),Pakistan; [dp 1]
104,93,Labuche Kang III,7.25,23.786,570,Labuche,Himalaya,28.30139,86.38389,Labuche Kang,unclimbed,0 (0),China
105,94,Putha Hiunchuli,7.246,23.773,1.151,Dhaulagiri,Himalaya,28.74778,83.14611,Churen Himal,1954,11 (5),Nepal
106,95,Apsarasas Kangri,7.245,23.77,607,Siachen,Karakoram,35.53861,77.14861,Teram Kangri I,1976,2 (0),India; China; [dp 2]; [dp 3]
107,96,Mukut Parbat,7.242,23.76,683,Garhwal,Himalaya,30.94917,79.57,Kamet,1951,2 (1),India; China
108,97,Rimo III,7.233,23.73,613,Rimo,Karakoram,35.37528,77.36167,Rimo I,1985,1 (0),India; [dp 5]
109,98,Langtang Lirung,7.227,23.711,1.534,Langtang,Himalaya,28.25611,85.51694,Shishapangma,1978,14 (13),Nepal
110,99,Karjiang,7.221,23.691,895,Kula Kangri,Himalaya,28.2575,90.64694,Kula Kangri,unclimbed,0 (2),China
111,100,Annapurna Dakshin,7.219,23.684,769,Annapurna,Himalaya,28.51833,83.80611,Annapurna,1964,10 (16),Nepal
112,101,Khartaphu,7.213,23.665,712,Mahalangur,Himalaya,28.06361,86.9775,Mount Everest,1935,1 (0),China
113,102,Tongshanjiabu,7.207,23.645,1.757,Lunana,Himalaya,28.18667,89.9575,Gangkhar Puensum,unclimbed,0 (0),Bhutan; China; [dp 6]
114,103,Malangutti Sar,7.207,23.645,507,Hispar,Karakoram,36.36306,75.14917,Distaghil Sar,1985,1 (0),Pakistan; [dp 1]
115,104,Noijin Kangsang,7.206,23.642,2.16,Nagarze,Himalaya,28.94667,90.17833,Gangkhar Puensum,1986,4 (1),China
116,105,Langtang Ri,7.205,23.638,665,Langtang,Himalaya,28.38139,85.68361,Shishapangma,1981,4 (0),Nepal; China
117,106,Kangphu Kang,7.204,23.635,1.244,Lunana,Himalaya,28.15667,90.07083,Tongshanjiabu,2002,1 (0) [18],Bhutan; China; [dp 6]
118,107,Singhi Kangri,7.202,23.629,730,Siachen,Karakoram,35.59972,76.98361,Teram Kangri III,1976,2 (0),India; China; [dp 2]; [dp 3]
119,108,Lupghar Sar,7.2,23.622,730,Hispar,Karakoram,36.35028,75.03694,Momhil Sar,1979,1 (0),Pakistan; [dp 1]
